id_etudiant	id_promo	nom	prenom	id_secu	num_banque	 age
1	3	KARLY	Page	622553911524952	FG70908509457239836283	31
2	5	JOVEL	Lincoln	858587230029266	YP15954935709194955049	22
3	12	STANFORD	Margareta	529132191613314	UO32913317395852835521	25
4	3	PARTHENIA	Catoe	698432835380414	HC23881076400233245256	19
5	8	MIRIAM	Catoe	854027142482688	MG81832512958471959977	25
6	12	DUFFER	Stegall	502633702112329	CI65361503530238348760	18
7	5	JOSEY	Ed	888737326764970	II22437608288600874900	25
8	4	ANAMARIA	Trivett	676365319588412	OO70431976263607156261	25
9	9	EVELIA	Luna	898653939290202	JF23052750523179161595	29
10	12	MARGARETA	Britni	177383631578328	NW11144460644052197888	28
11	11	EMOGENE	Sartor	830470606759145	TL65955070423237615936	31
12	11	MCELRATH	Sytsma	254247839378679	JT42495085053402837922	29
13	12	TEASLEY	Deetta	924972999581020	YC89694423330188238444	20
14	3	KENIA	Wanita	436793215102235	PM92345892420593686454	24
15	2	ASENCIO	Stanford	772088865614396	SC28821719823073313278	27
16	9	MOAD	Lincoln	149994499762548	HT74075333550265012900	24
17	5	LAJUANA	Pleas	308206930646650	CX17256833922686367735	21
18	9	GOETZINGER	Carline	539780902743287	AM45078198433299590590	21
19	11	COLEY	Lajuana	924988918200418	JV17406595402693175845	18
20	3	LAJUANA	Arica	625119859552737	LG09276651668330545223	30
21	12	LAJUANA	Wanita	601475765953036	AP23602778303002798696	18
22	1	BARB	Francene	025312357079533	WE31800164697237429761	18
23	11	MOAD	Hanzlik	486834082297002	NU57092474727817294882	20
24	9	PATAO	Sandie	489220583394218	YC48649612207864282172	26
25	11	MASTER	Teasley	755439670653217	TX94002244639389351015	19
26	8	PIEDAD	Lillia	082242171364381	YV77615808651936911161	28
27	4	LETCHWORTH	Mulvey	233111993379388	OT95085842417867977011	24
28	8	HAYMAKER	Speight	634090337248547	FS58417575772626841052	25
29	11	ELMIRA	Luann	623145886420639	IS28406946108437094258	25
30	3	DIFILIPPO	Bertone	908781611246536	XJ05075652205493262875	19
31	2	LUNA	Dolloff	176287570485057	EO49920703820753734089	20
32	1	MOAD	Ulysses	961517362592641	XU58870611828732300348	19
