id_personnel	id_responsable	nom	prenom	id_secu	status	num_banque	date_entree	date_sortie
2	7	ZAHL	Maren	263575554265950	Prestataire	KY29667833405032742446	1988-12-04	NA
3	9	SAUCIER	Bickham	198404214813743	Vacataire	HI10187736518968244375	1995-12-03	NA
4	5	RUDY	Graig	921498921116509	Interne	GB40231982231311870315	1990-12-04	NA
5	7	SIMA	Christinia	045264811987657	Interne	KY05795244686340315369	1990-12-04	NA
6	1	BASTIEN	Maddock	012817137460616	Vacataire	FQ28113736618798278045	2007-11-30	NA
7	5	TERRELL	Holdeman	742498113924025	Interne	VX42653954387174780459	2013-11-28	NA
8	2	PISANO	Lorenzana	386691817074101	Vacataire	ZX39464952995837389700	2002-12-01	NA
9	6	STAFF	Barb	922866038852132	Vacataire	LO80824919981038713233	1998-12-02	NA
10	3	TERRELL	Harriet	744868042696123	Prestataire	OY34138875499032066406	2016-11-27	NA
11	2	DANZIGER	Ranger	358995323401288	Interne	JZ46714617602693239479	2003-12-01	NA
12	2	EILEEN	Kazuko	358048686238736	Prestataire	DP78369733228552244246	2005-11-30	NA
13	3	JANEY	Christoper	568766487291086	Vacataire	ID12913089045246425456	1993-12-03	NA
14	9	HARRIET	Thurmond	905237358787954	Prestataire	IT18843867041428003987	2005-11-30	NA
15	4	MARCHELLE	Carmelita	762099175749256	Prestataire	FL50134895566957357452	2013-11-28	NA
16	5	CAROLYNN	Dulcie	327699075116853	Vacataire	GO11261655284344864285	2005-11-30	NA
17	9	LAQUANDA	Mina	886099015668139	Vacataire	SX53766297333799464455	1993-12-03	NA
18	3	HALINA	Mayne	307376699902566	Interne	LA50613770910661887107	2006-11-30	NA
19	1	DORTHEY	Esta	103192391470705	Prestataire	KW84604197875458748958	1990-12-04	NA
20	1	JOSEY	Janiece	453042646083679	Interne	WE29419833041782328791	2009-11-29	NA
21	5	ROSALBA	Rardin	126000936618308	Prestataire	SE15423010323101607941	1992-12-03	NA
22	3	BARB	Speight	564021701297355	Prestataire	FG07712362663657080184	2001-12-01	NA
23	6	JULIANA	Jamel	374262392865200	Interne	UA42228793804195531537	2002-12-01	NA
24	1	CARLINE	Asaro	823550583931681	Vacataire	VO60044841632033018486	2004-11-30	NA
25	6	STALLER	Kazuko	663350120492218	Vacataire	IY50380455566335401576	1988-12-04	NA
26	9	RICARDO	Sears	791392046646145	Interne	ES96267869390437880252	2017-11-27	NA
27	9	MAREN	Emogene	252444194505709	Prestataire	WH22647470826913506361	2008-11-29	NA
28	9	KARREN	Bosak	910263216313405	Prestataire	FE77583216792986852577	2010-11-29	NA
29	5	HARRIET	Akiko	240002815558567	Vacataire	WC84011146765337985003	1991-12-04	NA
30	2	ED	Caryn	310515258646394	Interne	QN77699847871832308017	1988-12-04	NA
31	9	MANIE	Ilona	371331119312480	Interne	RH07170635674816597873	2006-11-30	NA
32	1	SYTSMA	Ayesha	993973870471653	Prestataire	AS23316431738905168225	1994-12-03	NA
33	2	BARB	Sparks	735070913861015	Prestataire	KX58720864722790521866	1989-12-04	NA
34		MAYNE	Christoper	875853746901008	Interne	IH39604255168209224320	1988-12-04	NA
35	2	STEPHANY	Boyles	430093523661764	Vacataire	ZS75367725487850387044	2004-11-30	NA
36		VASQUEZ	Landen	411094234664265	Vacataire	DF60207060090934554610	1996-12-02	NA
37	3	AYESHA	Dahn	302371865139456	Interne	MI21495638522014611455	2010-11-29	NA
38	3	VALRIE	Eddie	533091296222317	Prestataire	CJ41323801164971123154	1988-12-04	NA
39	6	DIFILIPPO	Speight	070609711166015	Prestataire	OA12807523643779367960	1996-12-02	NA
40	1	HAYWOOD	Mulvey	392490650912723	Interne	EH64831582052919663138	2007-11-30	NA
41	9	ERIN	Marchelle	456682589151885	Prestataire	SL25509711290366750928	2012-11-28	NA
42	2	GUSE	Redmond	786384839486420	Prestataire	QK00064416589937282039	2010-11-29	NA
43	4	AARONS	Manie	486307833531725	Vacataire	FC31953114185408849439	2012-11-28	NA
44	4	ASENCIO	Redmond	370543833345081	Vacataire	AU22167775702826146348	1996-12-02	NA
45	6	LINCOLN	Mcelrath	450412518301006	Prestataire	AK11693130750384669213	2014-11-28	NA
46	1	LILLIA	Ed	338136001446433	Prestataire	OG17225601422538112831	2006-11-30	NA
47	4	ASARO	Evelia	486741666629551	Vacataire	LL50074685783257081800	1999-12-02	NA
48	7	IDELLA	Akiko	590406913106713	Prestataire	PU85191361819091879579	1994-12-03	NA
49	2	MIRIAM	Ayesha	118356720940057	Prestataire	JP81812339631755010600	1993-12-03	NA
50	5	GOETZINGER	Sears	523729541640439	Vacataire	OB82744226655599774094	1999-12-02	NA
51	3	DIFILIPPO	Merrick	070631470543243	Interne	YU96446426982441530902	2000-12-01	NA
52	6	SARTOR	Dahn	587349722853420	Prestataire	UU68896614805564551621	2016-11-27	NA
53	9	LILLIA	Ulysses	748049379373398	Interne	UL14026900759885184072	2013-11-28	NA
54	6	SCHECK	Terrell	205597658192753	Vacataire	OJ14379939369674618759	2000-12-01	NA
55	7	EVELIA	Pleas	579994816001617	Vacataire	XT97992569191732092776	2014-11-28	NA
56	3	KARREN	Vincenzo	098888296646880	Interne	JA08591962263818042615	2009-11-29	NA
57	4	NEUHAUS	Withey	845579850985868	Vacataire	TC47507983824264614182	2012-11-28	NA
58	1	DORTHEY	Goetzinger	390452641108459	Vacataire	DT78804250748933110124	2000-12-01	NA
59		ASKEY	Thurmond	241176982484810	Interne	ZM68565018163027829527	2008-11-29	NA
60	6	MULVEY	Ranger	823331772442796	Interne	BI12772863159130428178	1999-12-02	NA
61	2	SAUCIER	Aarons	118886002556364	Vacataire	TE54472462049735403539	1992-12-03	NA
62	1	VERONIQUE	Redmond	507798650889990	Prestataire	YO73846662557244146715	2016-11-27	NA
63	9	BLISS	Mccurley	477545799185404	Interne	UB17741360578681978562	2007-11-30	NA
64	4	STEGALL	Carmelita	092730567376366	Prestataire	PT95891044871389067660	1993-12-03	NA
65	9	MADDOCK	Bosak	168535602912619	Interne	PP07218859064579400490	1996-12-02	NA
66	6	RANGER	Dorthey	592303368039700	Interne	ME44065764549441530287	1992-12-03	NA
